# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high J J_err_low J_err_high
1.5000e-02 1.1792e-03 1.0823e-04 1.2040e-04 2.4391e+02 9.7070e-01 9.3146e-01 1.7956e+16 1.7956e+16 2.2134e+16
2.0000e-02 1.5722e-03 1.4430e-04 1.6053e-04 2.4051e+02 9.1197e-01 8.7543e-01 -0.0000e+00 0.0000e+00 0.0000e+00
2.5000e-02 1.9653e-03 1.8038e-04 2.0067e-04 2.3802e+02 8.6350e-01 8.2974e-01 9.2601e+15 1.1265e+16 1.1031e+16
3.0000e-02 2.3584e-03 2.1645e-04 2.4080e-04 2.3609e+02 8.2274e-01 7.9382e-01 1.2032e+16 2.8554e+15 3.1276e+15
3.5000e-02 2.7514e-03 2.5253e-04 2.8093e-04 2.3454e+02 7.9059e-01 7.6271e-01 -6.2056e+15 5.7834e+15 5.4034e+15
4.0000e-02 3.1445e-03 2.8860e-04 3.2107e-04 2.3324e+02 7.6320e-01 7.3736e-01 2.9016e+16 6.1886e+15 7.0298e+15
4.5000e-02 3.5375e-03 3.2468e-04 3.6120e-04 2.3213e+02 7.3945e-01 7.1548e-01 1.1494e+17 2.7446e+16 3.2300e+16
5.0000e-02 3.9306e-03 3.6075e-04 4.0133e-04 2.3117e+02 7.1901e-01 6.9626e-01 1.7185e+17 5.0835e+16 5.8744e+16
