-35.45	0.7	314563.1986	277306.9643	138653.4822
-35.58	0.7	412562.7735	356329.4728	178164.7364
-35.63	0.7	241004.9373	208155.3832	104077.6916
-35.76	0.7	594821.6524	476253.6255	238126.8127
-35.86	0.7	2359780.582	2038136.799	1019068.399
-35.95	0.7	1778305.395	1535918.082	767959.0409
-36.07	0.7	4005483.561	3197751.015	1598875.508
-36.25	0.7	5803425.157	4936654.443	2468327.222
-36.32	0.7	9234268.888	7855084.421	3927542.211
-36.29	0.7	1.17E+07	9343225.423	4671612.712
-36.4	0.7	1.71E+07	1.45E+07	7272394.36
-36.5	0.7	2.39E+07	2.30E+07	1.15E+07
-36.65	0.7	4.51E+07	3.60E+07	1.80E+07
-36.68	0.7	6.60E+07	5.81E+07	2.90E+07
-36.74	0.7	7.90E+07	6.31E+07	3.15E+07
