236.75022	2236185.4	3280186.793	775674.9684
236.70464	2323901.005	3408853.928	806101.2466
236.65907	4940517.12	7247082.021	1713737.806
236.61349	2633850.519	3863508.673	913614.7291
236.56792	1.53E+07	2.24E+07	5299148.07
236.52234	3592122.841	5269166.815	1246014.651
236.47677	3824028.735	5609341.942	1326456.817
236.43119	8478994.072	1.24E+07	2941144.084
236.38562	9898268.644	1.45E+07	3433453.782
236.34004	1.89E+07	2.77E+07	6545162.722
236.29447	7911986.105	1.16E+07	2744463.662
236.24889	9133717.644	1.34E+07	3168250.783
236.20332	2.40E+07	3.52E+07	8333502.959
236.15774	1.70E+07	2.50E+07	5912714.446
236.11217	6.51E+07	9.55E+07	2.26E+07
