# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high
2.5000e-02 2.4118e-03 7.0571e-04 9.0469e-04 2.3654e+02 2.2054e+00 2.5179e+00
3.0000e-02 2.8942e-03 8.4685e-04 1.0856e-03 2.3468e+02 2.1048e+00 2.4146e+00
3.5000e-02 3.3765e-03 9.8799e-04 1.2666e-03 2.3317e+02 2.0223e+00 2.3203e+00
3.7500e-02 3.6177e-03 1.0586e-03 1.3570e-03 2.3252e+02 1.9864e+00 2.2788e+00
4.0000e-02 3.8589e-03 1.1291e-03 1.4475e-03 2.3192e+02 1.9534e+00 2.2405e+00
4.2500e-02 4.1001e-03 1.1997e-03 1.5380e-03 2.3136e+02 1.9230e+00 2.2050e+00
4.5000e-02 4.3413e-03 1.2703e-03 1.6284e-03 2.3085e+02 1.8949e+00 2.1721e+00
4.7500e-02 4.5824e-03 1.3408e-03 1.7189e-03 2.3037e+02 1.8687e+00 2.1414e+00
5.0000e-02 4.8236e-03 1.4114e-03 1.8094e-03 2.2992e+02 1.8444e+00 2.1127e+00
