# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high J J_err_low J_err_high
2.7500e-02 2.6530e-03 7.8598e-04 9.3578e-04 2.3555e+02 2.0865e+00 2.6006e+00 7.1677e+15 7.1677e+15 1.5883e+16
3.2500e-02 3.1354e-03 9.2889e-04 1.1059e-03 2.3389e+02 1.9973e+00 2.4997e+00 1.6527e+16 1.2517e+16 2.1100e+16
3.6250e-02 3.4971e-03 1.0361e-03 1.2335e-03 2.3284e+02 1.9439e+00 2.4343e+00 3.1894e+16 2.5052e+16 5.1155e+16
3.8750e-02 3.7383e-03 1.1075e-03 1.3186e-03 2.3221e+02 1.9108e+00 2.3947e+00 -2.1920e+16 4.4458e+16 2.8117e+16
4.1250e-02 3.9795e-03 1.1790e-03 1.4037e-03 2.3163e+02 1.8798e+00 2.3579e+00 3.8279e+15 3.0256e+16 3.2598e+16
4.3750e-02 4.2207e-03 1.2504e-03 1.4887e-03 2.3110e+02 1.8511e+00 2.3237e+00 8.8002e+16 4.7961e+16 9.8389e+16
4.6250e-02 4.4619e-03 1.3219e-03 1.5738e-03 2.3060e+02 1.8244e+00 2.2918e+00 6.3042e+17 3.0233e+17 6.2055e+17
4.8750e-02 4.7030e-03 1.3933e-03 1.6589e-03 2.3014e+02 1.7997e+00 2.2619e+00 1.2299e+18 5.9905e+17 1.4183e+18
