# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high
1.5000e-02 1.1792e-03 1.8188e-04 2.2057e-04 2.4391e+02 1.6376e+00 1.6399e+00
2.0000e-02 1.5722e-03 2.4250e-04 2.9409e-04 2.4051e+02 1.5308e+00 1.5461e+00
2.5000e-02 1.9653e-03 3.0313e-04 3.6761e-04 2.3802e+02 1.4467e+00 1.4691e+00
3.0000e-02 2.3584e-03 3.6376e-04 4.4113e-04 2.3609e+02 1.3784e+00 1.4040e+00
3.5000e-02 2.7514e-03 4.2438e-04 5.1465e-04 2.3454e+02 1.3221e+00 1.3499e+00
4.0000e-02 3.1445e-03 4.8501e-04 5.8818e-04 2.3324e+02 1.2767e+00 1.3053e+00
4.5000e-02 3.5375e-03 5.4563e-04 6.6170e-04 2.3213e+02 1.2369e+00 1.2667e+00
5.0000e-02 3.9306e-03 6.0626e-04 7.3522e-04 2.3117e+02 1.2025e+00 1.2330e+00
