# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high
2.5000e-02 2.4118e-03 6.7193e-04 8.2887e-04 2.3654e+02 2.0902e+00 2.3048e+00
3.0000e-02 2.8942e-03 8.0632e-04 9.9464e-04 2.3468e+02 1.9963e+00 2.2077e+00
3.5000e-02 3.3765e-03 9.4070e-04 1.1604e-03 2.3317e+02 1.9194e+00 2.1259e+00
3.7500e-02 3.6177e-03 1.0079e-03 1.2433e-03 2.3252e+02 1.8859e+00 2.0898e+00
4.0000e-02 3.8589e-03 1.0751e-03 1.3262e-03 2.3192e+02 1.8550e+00 2.0564e+00
4.2500e-02 4.1001e-03 1.1423e-03 1.4091e-03 2.3136e+02 1.8265e+00 2.0254e+00
4.5000e-02 4.3413e-03 1.2095e-03 1.4920e-03 2.3085e+02 1.8002e+00 1.9965e+00
4.7500e-02 4.5824e-03 1.2767e-03 1.5748e-03 2.3037e+02 1.7757e+00 1.9695e+00
5.0000e-02 4.8236e-03 1.3439e-03 1.6577e-03 2.2992e+02 1.7528e+00 1.9443e+00
