# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high J J_err_low J_err_high
2.7500e-02 2.6530e-03 8.0580e-04 1.0132e-03 2.3555e+02 2.2166e+00 2.5907e+00 7.1677e+15 7.1677e+15 1.4785e+16
3.2500e-02 3.1354e-03 9.5231e-04 1.1975e-03 2.3389e+02 2.1240e+00 2.4840e+00 1.6527e+16 1.1697e+16 2.5903e+16
3.6250e-02 3.4971e-03 1.0622e-03 1.3356e-03 2.3284e+02 2.0652e+00 2.4153e+00 3.1894e+16 2.7921e+16 4.8916e+16
3.8750e-02 3.7383e-03 1.1355e-03 1.4277e-03 2.3221e+02 2.0300e+00 2.3740e+00 -2.1920e+16 4.7677e+16 2.7686e+16
4.1250e-02 3.9795e-03 1.2087e-03 1.5198e-03 2.3163e+02 1.9977e+00 2.3358e+00 3.8279e+15 3.0447e+16 3.2751e+16
4.3750e-02 4.2207e-03 1.2820e-03 1.6120e-03 2.3110e+02 1.9678e+00 2.3002e+00 8.8002e+16 4.7246e+16 1.1094e+17
4.6250e-02 4.4619e-03 1.3552e-03 1.7041e-03 2.3060e+02 1.9401e+00 2.2677e+00 6.3042e+17 3.0194e+17 6.6925e+17
4.8750e-02 4.7030e-03 1.4285e-03 1.7962e-03 2.3014e+02 1.9143e+00 2.2383e+00 1.2299e+18 5.9061e+17 1.4408e+18
