# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high
1.5000e-02 1.1792e-03 1.7676e-04 1.8791e-04 2.4391e+02 1.4721e+00 1.5877e+00
2.0000e-02 1.5722e-03 2.3569e-04 2.5055e-04 2.4051e+02 1.3819e+00 1.5011e+00
2.5000e-02 1.9653e-03 2.9461e-04 3.1318e-04 2.3802e+02 1.3094e+00 1.4236e+00
3.0000e-02 2.3584e-03 3.5353e-04 3.7582e-04 2.3609e+02 1.2482e+00 1.3590e+00
3.5000e-02 2.7514e-03 4.1245e-04 4.3846e-04 2.3454e+02 1.1978e+00 1.3052e+00
4.0000e-02 3.1445e-03 4.7137e-04 5.0109e-04 2.3324e+02 1.1566e+00 1.2594e+00
4.5000e-02 3.5375e-03 5.3029e-04 5.6373e-04 2.3213e+02 1.1216e+00 1.2202e+00
5.0000e-02 3.9306e-03 5.8921e-04 6.2637e-04 2.3117e+02 1.0913e+00 1.1860e+00
