lowerr_sideblobs,higherr_sideblobs,lowerr_marbles,higherr_marbles,lowerr_fractured,higherr_fractured,lowerr_water,higherr_water
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.02654867256637168,0.0,0.02654867256637168,0.0,0.0,0.9557522123893806,1.0
0.021231422505307854,0.04883227176220807,0.008492569002123142,0.029723991507430998,0.0,0.010615711252653929,0.9256900212314225,0.9596602972399151
0.050156739811912224,0.09717868338557993,0.003134796238244514,0.0219435736677116,0.003134796238244514,0.018808777429467086,0.877742946708464,0.9310344827586207
0.029556650246305417,0.06403940886699508,0.0024630541871921183,0.01736453201970264,0.0049261083743842365,0.022167487684729065,0.9088669950738916,0.9507389162561576
0.03363914373088685,0.07339449541284404,0.0030581039755351682,0.01834862385321101,0.0030581039755351682,0.024464831804281346,0.9021406727828746,0.9480122324159022
0.05506607929515418,0.0947136563876652,0.05947136563876652,0.1013215859030837,0.006607929515418502,0.026431718061674006,0.801762114537445,0.8590308370044053
0.1941747572815534,0.2912621359223301,0.28640776699029125,0.3932038834951456,0.019417475728155338,0.06310679611650485,0.32524271844660196,0.4368932038834951
0.5818181818181818,0.6909090909090909,0.13636363636363635,0.21818181818181817,0.07272727272727272,0.1409090909090909,0.05454545454545454,0.11363636363636363
