# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high
1.5000e-02 1.1792e-03 1.1184e-04 1.1754e-04 2.4391e+02 9.3617e-01 9.6726e-01
2.0000e-02 1.5722e-03 1.4911e-04 1.5672e-04 2.4051e+02 8.7835e-01 9.0893e-01
2.5000e-02 1.9653e-03 1.8639e-04 1.9590e-04 2.3802e+02 8.3091e-01 8.6246e-01
3.0000e-02 2.3584e-03 2.2367e-04 2.3508e-04 2.3609e+02 7.9346e-01 8.2401e-01
3.5000e-02 2.7514e-03 2.6095e-04 2.7426e-04 2.3454e+02 7.6111e-01 7.9228e-01
4.0000e-02 3.1445e-03 2.9823e-04 3.1344e-04 2.3324e+02 7.3508e-01 7.6641e-01
4.5000e-02 3.5375e-03 3.3551e-04 3.5262e-04 2.3213e+02 7.1308e-01 7.4292e-01
5.0000e-02 3.9306e-03 3.7279e-04 3.9180e-04 2.3117e+02 6.9361e-01 7.2250e-01
